UserID,ExpID,TrialNumber,TimeSinceTrialStart(s),DistanceToTarget(mm)
11,Exp_20260319_141709,2,0.278,-28.58
11,Exp_20260319_141709,2,0.289,-28.40
11,Exp_20260319_141709,2,0.303,-28.27
11,Exp_20260319_141709,2,0.311,-28.08
11,Exp_20260319_141709,2,0.322,-27.87
11,Exp_20260319_141709,2,0.336,-27.66
11,Exp_20260319_141709,2,0.344,-27.45
11,Exp_20260319_141709,2,0.355,-27.19
11,Exp_20260319_141709,2,0.367,-26.98
11,Exp_20260319_141709,2,0.379,-26.73
11,Exp_20260319_141709,2,0.389,-26.54
11,Exp_20260319_141709,2,0.400,-26.30
11,Exp_20260319_141709,2,0.413,-26.13
11,Exp_20260319_141709,2,0.422,-25.94
11,Exp_20260319_141709,2,0.433,-25.71
11,Exp_20260319_141709,2,0.444,-25.45
11,Exp_20260319_141709,2,0.455,-25.25
11,Exp_20260319_141709,2,0.466,-25.07
11,Exp_20260319_141709,2,0.477,-24.82
11,Exp_20260319_141709,2,0.490,-24.51
11,Exp_20260319_141709,2,0.499,-24.21
11,Exp_20260319_141709,2,0.510,-23.95
11,Exp_20260319_141709,2,0.525,-23.74
11,Exp_20260319_141709,2,0.532,-23.55
11,Exp_20260319_141709,2,0.544,-23.36
11,Exp_20260319_141709,2,0.554,-23.08
11,Exp_20260319_141709,2,0.566,-22.79
11,Exp_20260319_141709,2,0.577,-22.47
11,Exp_20260319_141709,2,0.588,-22.25
11,Exp_20260319_141709,2,0.599,-22.03
11,Exp_20260319_141709,2,0.610,-21.82
11,Exp_20260319_141709,2,0.621,-21.63
11,Exp_20260319_141709,2,0.636,-21.44
11,Exp_20260319_141709,2,0.646,-21.28
11,Exp_20260319_141709,2,0.654,-21.05
11,Exp_20260319_141709,2,0.666,-20.89
11,Exp_20260319_141709,2,0.677,-20.75
11,Exp_20260319_141709,2,0.688,-20.61
11,Exp_20260319_141709,2,0.702,-20.37
11,Exp_20260319_141709,2,0.710,-20.23
11,Exp_20260319_141709,2,0.721,-20.00
11,Exp_20260319_141709,2,0.733,-19.75
11,Exp_20260319_141709,2,0.746,-19.53
11,Exp_20260319_141709,2,0.754,-19.27
11,Exp_20260319_141709,2,0.766,-18.96
11,Exp_20260319_141709,2,0.776,-18.60
11,Exp_20260319_141709,2,0.788,-18.27
11,Exp_20260319_141709,2,0.801,-17.84
11,Exp_20260319_141709,2,0.810,-17.43
11,Exp_20260319_141709,2,0.821,-17.12
11,Exp_20260319_141709,2,0.833,-16.72
11,Exp_20260319_141709,2,0.846,-16.42
11,Exp_20260319_141709,2,0.854,-16.08
11,Exp_20260319_141709,2,0.867,-15.74
11,Exp_20260319_141709,2,0.877,-15.40
11,Exp_20260319_141709,2,0.888,-15.06
11,Exp_20260319_141709,2,0.900,-14.80
11,Exp_20260319_141709,2,0.911,-14.47
11,Exp_20260319_141709,2,0.922,-14.14
11,Exp_20260319_141709,2,0.933,-13.93
11,Exp_20260319_141709,2,0.945,-13.67
11,Exp_20260319_141709,2,0.958,-13.41
11,Exp_20260319_141709,2,0.966,-13.16
11,Exp_20260319_141709,2,0.981,-12.85
11,Exp_20260319_141709,2,0.996,-12.33
11,Exp_20260319_141709,2,1.005,-12.10
11,Exp_20260319_141709,2,1.022,-11.68
11,Exp_20260319_141709,2,1.033,-11.34
11,Exp_20260319_141709,2,1.044,-11.03
11,Exp_20260319_141709,2,1.055,-10.81
11,Exp_20260319_141709,2,1.070,-10.52
11,Exp_20260319_141709,2,1.077,-10.20
11,Exp_20260319_141709,2,1.088,-9.86
11,Exp_20260319_141709,2,1.100,-9.59
11,Exp_20260319_141709,2,1.113,-9.31
11,Exp_20260319_141709,2,1.122,-9.03
11,Exp_20260319_141709,2,1.133,-8.78
11,Exp_20260319_141709,2,1.144,-8.54
11,Exp_20260319_141709,2,1.155,-8.35
11,Exp_20260319_141709,2,1.167,-8.08
11,Exp_20260319_141709,2,1.180,-7.85
11,Exp_20260319_141709,2,1.188,-7.62
11,Exp_20260319_141709,2,1.199,-7.42
11,Exp_20260319_141709,2,1.210,-7.21
11,Exp_20260319_141709,2,1.221,-6.96
11,Exp_20260319_141709,2,1.233,-6.78
11,Exp_20260319_141709,2,1.244,-6.61
11,Exp_20260319_141709,2,1.255,-6.45
11,Exp_20260319_141709,2,1.269,-6.26
11,Exp_20260319_141709,2,1.280,-6.03
11,Exp_20260319_141709,2,1.288,-5.86
11,Exp_20260319_141709,2,1.300,-5.72
11,Exp_20260319_141709,2,1.311,-5.60
11,Exp_20260319_141709,2,1.322,-5.52
11,Exp_20260319_141709,2,1.333,-5.40
11,Exp_20260319_141709,2,1.344,-5.29
11,Exp_20260319_141709,2,1.355,-5.17
11,Exp_20260319_141709,2,1.366,-5.03
11,Exp_20260319_141709,2,1.379,-4.97
11,Exp_20260319_141709,2,1.390,-4.92
11,Exp_20260319_141709,2,1.399,-4.84
11,Exp_20260319_141709,2,1.411,-4.78
11,Exp_20260319_141709,2,1.424,-4.62
11,Exp_20260319_141709,2,1.432,-4.47
